B25071_001E,tract,TRACTCE,nbhd_name
30.8,000501,000501,"Sloan Lake"
30.8,000502,000502,"Sloan Lake"
34.1,000600,000600,"Jefferson Park"
25.9,000701,000701,"West Colfax"
31.6,000702,000702,"West Colfax"
19.6,000800,000800,"Sun Valley"
32.3,000904,000904,"Villa Park"
36.7,000905,000905,"Villa Park"
29.9,001600,001600,"Five Points"
25.4,001701,001701,"Union Station"
32.0,001702,001702,CBD
32.4,001800,001800,"Lincoln Park"
30.2,001900,001900,Auraria
30.2,001900,001900,"Lincoln Park"
30.3,002000,002000,"Civic Center"
34.1,002300,002300,Whittier
26.5,002402,002402,"Five Points"
27.9,002403,002403,"Five Points"
27.1,002601,002601,"North Capitol Hill"
24.4,002602,002602,"North Capitol Hill"
28.8,002701,002701,"Capitol Hill"
25.9,002702,002702,"Capitol Hill"
30.0,002703,002703,"Capitol Hill"
29.1,003101,003101,"City Park West"
29.8,003102,003102,"City Park West"
27.1,003201,003201,"Cheesman Park"
22.5,003202,003202,"Cheesman Park"
26.7,003300,003300,"Congress Park"
34.6,003603,003603,Skyland
24.8,003701,003701,"City Park"
30.2,003702,003702,"Congress Park"
27.7,003703,003703,"Congress Park"
37.3,004103,004103,"North Park Hill"
38.6,004104,004104,"North Park Hill"
29.8,004105,004105,Stapleton
24.2,004201,004201,"South Park Hill"
50.0,004202,004202,"South Park Hill"
28.3,004301,004301,Hale
27.6,004302,004302,Hale
31.9,004304,004304,Montclair
28.5,004306,004306,"Lowry Field"
27.6,004403,004403,"East Colfax"
35.3,004404,004404,"East Colfax"
40.5,004405,004405,"Lowry Field"
