B03002_003E,B03002_001E,tract,TRACTCE,nbhd_name
2591,3375,003701,003701,"City Park"
4062,4877,003702,003702,"Congress Park"
4683,5896,004304,004304,Montclair
980,2787,001901,001901,"Lincoln Park"
540,798,001902,001902,Auraria
1612,3248,000600,000600,"Jefferson Park"
171,1441,000800,000800,"Sun Valley"
3105,4107,001702,001702,CBD
1722,3417,001800,001800,"Lincoln Park"
3978,5219,002703,002703,"Capitol Hill"
2471,3316,002601,002601,"North Capitol Hill"
2197,2724,002602,002602,"North Capitol Hill"
3604,4721,002701,002701,"Capitol Hill"
4476,5567,003201,003201,"Cheesman Park"
3951,4866,004201,004201,"South Park Hill"
3294,4625,004202,004202,"South Park Hill"
4471,5490,004306,004306,"Lowry Field"
1812,6526,004404,004404,"East Colfax"
6405,8593,004405,004405,"Lowry Field"
949,1692,003101,003101,"City Park West"
3414,5916,000502,000502,"Sloan Lake"
1265,1988,002402,002402,"Five Points"
1621,3245,003603,003603,Skyland
1186,5179,000904,000904,"Villa Park"
1231,4221,000905,000905,"Villa Park"
1596,1962,002000,002000,"Civic Center"
2793,3328,003202,003202,"Cheesman Park"
2100,2409,004302,004302,Hale
2987,3505,003300,003300,"Congress Park"
3509,5485,004103,004103,"North Park Hill"
3494,4651,004301,004301,Hale
2170,4866,004104,004104,"North Park Hill"
1733,4351,000701,000701,"West Colfax"
2389,3428,003102,003102,"City Park West"
2132,3685,002403,002403,"Five Points"
1722,5128,000702,000702,"West Colfax"
4786,5913,002702,002702,"Capitol Hill"
2440,3177,003703,003703,"Congress Park"
1987,4533,004403,004403,"East Colfax"
4864,5878,001701,001701,"Union Station"
1606,2018,000501,000501,"Sloan Lake"
6980,10639,001600,001600,"Five Points"
2899,5801,002300,002300,Whittier
9257,12640,004106,004106,Stapleton
6598,9123,004107,004107,Stapleton
