B15003_022E,B15002_001E,tract,TRACTCE,nbhd_name
539,1527,000501,000501,"Sloan Lake"
441,1843,000503,000503,"Sloan Lake"
1212,2718,000504,000504,"Sloan Lake"
2130,3812,000600,000600,"Jefferson Park"
788,2065,000703,000703,"West Colfax"
1022,2250,000704,000704,"West Colfax"
634,2037,000705,000705,"West Colfax"
1097,2419,000706,000706,"West Colfax"
38,505,000800,000800,"Sun Valley"
388,3005,000904,000904,"Villa Park"
832,2381,000905,000905,"Villa Park"
1898,2800,001601,001601,"Five Points"
2181,3825,001602,001602,"Five Points"
2225,5150,001603,001603,"Five Points"
1658,2824,001703,001703,"Union Station"
946,2444,001704,001704,"Union Station"
1542,2801,001705,001705,"Union Station"
739,2194,001706,001706,CBD
511,1295,001707,001707,CBD
1073,2744,001800,001800,"Lincoln Park"
506,2602,001901,001901,"Lincoln Park"
1417,3152,002000,002000,"Civic Center"
1365,3367,002300,002300,Whittier
442,1413,002402,002402,"Five Points"
332,1251,002404,002404,"Five Points"
1493,3537,002405,002405,"Five Points"
1232,2582,002602,002602,"North Capitol Hill"
1315,2512,002603,002603,"North Capitol Hill"
606,1768,002604,002604,"North Capitol Hill"
737,1870,002704,002704,"Capitol Hill"
1221,2464,002705,002705,"Capitol Hill"
1144,3011,002706,002706,"Capitol Hill"
1535,3122,002707,002707,"Capitol Hill"
957,2337,002708,002708,"Capitol Hill"
761,2099,002709,002709,"Capitol Hill"
375,1188,003101,003101,"City Park West"
1210,3486,003102,003102,"City Park West"
1161,3022,003202,003202,"Cheesman Park"
1251,1847,003204,003204,"Cheesman Park"
1609,2986,003205,003205,"Cheesman Park"
941,2472,003300,003300,"Congress Park"
1001,2802,003603,003603,Skyland
1271,2965,003701,003701,"City Park"
1867,4229,003702,003702,"Congress Park"
853,2480,003703,003703,"Congress Park"
1632,4367,004103,004103,"North Park Hill"
1287,3783,004104,004104,"North Park Hill"
1715,5106,004108,004108,Stapleton
698,1968,004109,004109,Stapleton
742,3567,004110,004110,Stapleton
1624,4418,004111,004111,Stapleton
1427,4263,004112,004112,Stapleton
433,1388,004113,004113,Stapleton
1002,3261,004201,004201,"South Park Hill"
1345,3163,004202,004202,"South Park Hill"
745,2120,004302,004302,Hale
1436,3868,004306,004306,"Lowry Field"
444,1642,004307,004307,Hale
1205,2980,004308,004308,Hale
1237,3248,004309,004309,Montclair
682,1664,004310,004310,Montclair
856,3041,004403,004403,"East Colfax"
718,4105,004404,004404,"East Colfax"
1180,3052,004406,004406,"Lowry Field"
1482,4372,004407,004407,"Lowry Field"
65,137,980200,980200,Auraria
