NAME,B03002_003E,B03002_001E,state,county,tract
"Census Tract 5.01 Denver County Colorado",1512,1886,08,031,000501
"Census Tract 5.03 Denver County Colorado",1957,2521,08,031,000503
"Census Tract 5.04 Denver County Colorado",2690,3444,08,031,000504
"Census Tract 6 Denver County Colorado",2664,4496,08,031,000600
"Census Tract 7.03 Denver County Colorado",1283,2372,08,031,000703
"Census Tract 7.04 Denver County Colorado",2688,3439,08,031,000704
"Census Tract 7.05 Denver County Colorado",1225,2515,08,031,000705
"Census Tract 7.06 Denver County Colorado",1416,2818,08,031,000706
"Census Tract 8 Denver County Colorado",108,1110,08,031,000800
"Census Tract 9.04 Denver County Colorado",872,4928,08,031,000904
"Census Tract 9.05 Denver County Colorado",1276,2958,08,031,000905
"Census Tract 16.01 Denver County Colorado",2100,3359,08,031,001601
"Census Tract 16.02 Denver County Colorado",3614,5019,08,031,001602
"Census Tract 16.03 Denver County Colorado",3767,6018,08,031,001603
"Census Tract 17.03 Denver County Colorado",2571,3387,08,031,001703
"Census Tract 17.04 Denver County Colorado",1991,2585,08,031,001704
"Census Tract 17.05 Denver County Colorado",2606,3311,08,031,001705
"Census Tract 17.06 Denver County Colorado",1546,2516,08,031,001706
"Census Tract 17.07 Denver County Colorado",1707,2242,08,031,001707
"Census Tract 18 Denver County Colorado",1745,3192,08,031,001800
"Census Tract 19.01 Denver County Colorado",1291,3813,08,031,001901
"Census Tract 20 Denver County Colorado",2237,3586,08,031,002000
"Census Tract 23 Denver County Colorado",2687,4548,08,031,002300
"Census Tract 24.02 Denver County Colorado",1038,1944,08,031,002402
"Census Tract 24.04 Denver County Colorado",879,1495,08,031,002404
"Census Tract 24.05 Denver County Colorado",2124,4303,08,031,002405
"Census Tract 26.02 Denver County Colorado",2212,2946,08,031,002602
"Census Tract 26.03 Denver County Colorado",1652,2682,08,031,002603
"Census Tract 26.04 Denver County Colorado",1328,2067,08,031,002604
"Census Tract 27.04 Denver County Colorado",1413,1948,08,031,002704
"Census Tract 27.05 Denver County Colorado",1910,2743,08,031,002705
"Census Tract 27.06 Denver County Colorado",2941,3308,08,031,002706
"Census Tract 27.07 Denver County Colorado",2234,3311,08,031,002707
"Census Tract 27.08 Denver County Colorado",2057,2584,08,031,002708
"Census Tract 27.09 Denver County Colorado",1654,2448,08,031,002709
"Census Tract 31.01 Denver County Colorado",1086,1676,08,031,003101
"Census Tract 31.02 Denver County Colorado",2698,4028,08,031,003102
"Census Tract 32.02 Denver County Colorado",2707,3277,08,031,003202
"Census Tract 32.04 Denver County Colorado",1909,2174,08,031,003204
"Census Tract 32.05 Denver County Colorado",2862,3180,08,031,003205
"Census Tract 33 Denver County Colorado",2761,3271,08,031,003300
"Census Tract 36.03 Denver County Colorado",1717,3501,08,031,003603
"Census Tract 37.01 Denver County Colorado",2916,3782,08,031,003701
"Census Tract 37.02 Denver County Colorado",3952,5037,08,031,003702
"Census Tract 37.03 Denver County Colorado",1984,3054,08,031,003703
"Census Tract 41.03 Denver County Colorado",3747,6236,08,031,004103
"Census Tract 41.04 Denver County Colorado",2222,4897,08,031,004104
"Census Tract 41.08 Denver County Colorado",6231,8364,08,031,004108
"Census Tract 41.09 Denver County Colorado",1255,3294,08,031,004109
"Census Tract 41.10 Denver County Colorado",3306,4965,08,031,004110
"Census Tract 41.11 Denver County Colorado",4381,6742,08,031,004111
"Census Tract 41.12 Denver County Colorado",3965,6075,08,031,004112
"Census Tract 41.13 Denver County Colorado",1358,1937,08,031,004113
"Census Tract 42.01 Denver County Colorado",3411,4476,08,031,004201
"Census Tract 42.02 Denver County Colorado",3187,4533,08,031,004202
"Census Tract 43.02 Denver County Colorado",2109,3002,08,031,004302
"Census Tract 43.06 Denver County Colorado",3820,4920,08,031,004306
"Census Tract 43.07 Denver County Colorado",1647,2251,08,031,004307
"Census Tract 43.08 Denver County Colorado",2400,3775,08,031,004308
"Census Tract 43.09 Denver County Colorado",2678,3998,08,031,004309
"Census Tract 43.10 Denver County Colorado",1640,2112,08,031,004310
"Census Tract 44.03 Denver County Colorado",1837,3965,08,031,004403
"Census Tract 44.04 Denver County Colorado",2200,5961,08,031,004404
"Census Tract 44.06 Denver County Colorado",2932,3823,08,031,004406
"Census Tract 44.07 Denver County Colorado",3790,5830,08,031,004407
"Census Tract 9802 Denver County Colorado",474,740,08,031,980200
